"steps","y","se","alg.name"
1,10.4486241379299,2.98573131381463,"EI"
2,10.1837290806574,3.06786441895364,"EI"
3,10.0695295858161,3.02076988721279,"EI"
4,10.0446958533447,3.05379100821545,"EI"
5,9.9623648905544,3.04641337156156,"EI"
6,9.85277575950864,3.06493443514227,"EI"
7,9.69598252927052,2.94246217356428,"EI"
8,9.53846069258545,3.02144668464657,"EI"
9,9.32008245467248,3.07187958832426,"EI"
10,9.30340404079637,3.03248706086886,"EI"
11,9.23633646666027,3.04223818013802,"EI"
12,9.223626766259,3.02827216541888,"EI"
13,9.18530020676016,2.97721376302259,"EI"
14,9.17348676192392,2.98508875825293,"EI"
15,9.11230987218736,2.98205232168389,"EI"
16,8.98020694436013,3.00182652460222,"EI"
17,8.92820698699953,3.0212595638191,"EI"
18,8.92820698699953,3.0212595638191,"EI"
19,8.86480351493445,2.9427826536978,"EI"
20,8.85942392639565,2.94741337438525,"EI"
21,8.7117195965667,2.89693232551834,"EI"
