"steps","y","se","alg.name"
1,2.56950254757593,2.49527783365498,"EI"
2,2.33892735156443,2.26665279361889,"EI"
3,2.23302614276583,2.22912424127126,"EI"
4,2.16909553577979,2.25061949615467,"EI"
5,2.13166625605645,2.18126305310271,"EI"
6,2.1271194463485,2.17352512137118,"EI"
7,2.03145753568787,2.04927927303408,"EI"
8,1.92980488837408,1.75272070759926,"EI"
9,1.79513712854284,1.57434696578854,"EI"
10,1.7481077901439,1.55927025586964,"EI"
11,1.70171660526282,1.55551450162871,"EI"
12,1.70145209884464,1.55574606384657,"EI"
13,1.64280690314505,1.46268050166408,"EI"
14,1.6189033967873,1.46483221200185,"EI"
15,1.60204917119538,1.46049572622038,"EI"
16,1.59445868392018,1.46200458042887,"EI"
17,1.52877469439972,1.41223622531701,"EI"
18,1.52877469439972,1.41223622531701,"EI"
19,1.47645966303311,1.34193938848255,"EI"
20,1.47645966303311,1.34193938848255,"EI"
21,1.46993161040145,1.33905684766009,"EI"
