"steps","y","se","alg.name"
1,2.53764837443921,2.56950124077772,"MGF"
2,2.51537577307144,2.58078455691825,"MGF"
3,2.41643468821528,2.49137442477017,"MGF"
4,2.33354219196699,2.50189884512758,"MGF"
5,2.3278923688214,2.50356305026413,"MGF"
6,2.11962488537269,2.2457063999825,"MGF"
7,1.9412209321702,2.00573960508148,"MGF"
8,1.8741983987914,1.9963585185879,"MGF"
9,1.87003974046206,1.99840574683944,"MGF"
10,1.82974371608755,1.9882250649811,"MGF"
11,1.78195372909239,1.97201867912193,"MGF"
12,1.70743681992063,1.94354962609897,"MGF"
13,1.6093226430776,1.81632122012762,"MGF"
14,1.52322040017481,1.65284359291884,"MGF"
15,1.50856289580211,1.64322072513062,"MGF"
16,1.46174993228398,1.48410260945626,"MGF"
17,1.43364980729271,1.46460794454281,"MGF"
18,1.41297023393102,1.47127782707614,"MGF"
19,1.39214303782146,1.43282821705852,"MGF"
20,1.3860170346696,1.43132994074985,"MGF"
21,1.35167806484924,1.41755857441639,"MGF"
