"steps","y","se","alg.name"
1,6.17265525064201,5.26033158142882,"EI"
2,4.96170002439036,4.58236725795109,"EI"
3,4.24524490348201,3.93587073992385,"EI"
4,4.05233152748469,3.95239413826711,"EI"
5,3.92575704158127,3.94186177038854,"EI"
6,3.87459268961071,3.97286824125263,"EI"
7,3.62664635606018,3.93898302056224,"EI"
8,3.41699216399374,3.76403746554515,"EI"
9,3.36403556007267,3.47519612464967,"EI"
10,3.12571222818986,2.85357968965971,"EI"
11,3.08897542706943,2.83684371668336,"EI"
12,3.03157031022199,2.8403249255318,"EI"
13,2.97205052001973,2.76776132228752,"EI"
14,2.92050368980527,2.71189903215381,"EI"
15,2.86771764178389,2.71720110209065,"EI"
16,2.84419321712071,2.71759382190147,"EI"
17,2.73091100998552,2.64048683700235,"EI"
18,2.7178199050006,2.6324522738015,"EI"
19,2.68284709991871,2.63316989493349,"EI"
20,2.67740517174067,2.63692377985343,"EI"
21,2.67311400110153,2.63986897562243,"EI"
