"steps","y","se","alg.name"
1,6.25376196555175,5.12068254800488,"MGF"
2,5.97002311611118,5.12407763362164,"MGF"
3,5.31396495482028,5.00101155535998,"MGF"
4,5.02079004508528,4.94844257343192,"MGF"
5,4.75278543624877,4.60376231952552,"MGF"
6,4.36342943240276,3.94640017970813,"MGF"
7,4.08494678526465,3.65995678275958,"MGF"
8,3.8548210049994,3.40844854919132,"MGF"
9,3.81223329121347,3.37362037812486,"MGF"
10,3.80544775798762,3.37634772126787,"MGF"
11,3.6121143023242,2.79203985107228,"MGF"
12,3.52487190668001,2.81167338718396,"MGF"
13,3.26585146137223,2.37420339955657,"MGF"
14,3.23876794515883,2.39304981874917,"MGF"
15,3.12632004138023,2.22153482325947,"MGF"
16,3.10571213871429,2.23821859126112,"MGF"
17,2.96744376922905,2.19234051325579,"MGF"
18,2.92819707913951,2.21818088884012,"MGF"
19,2.91629128872863,2.19085650727245,"MGF"
20,2.91629128872863,2.19085650727245,"MGF"
21,2.89635522412097,2.16837418500441,"MGF"
