"steps","y","se","alg.name"
1,11.3906868077689,6.09987270018879,"EI"
2,11.1092800237239,6.06305499575812,"EI"
3,10.7667361692369,6.07438576319636,"EI"
4,10.6107277075556,5.82527199474022,"EI"
5,10.3889475997136,5.73942394250092,"EI"
6,9.98476403756642,5.57168525541748,"EI"
7,9.83059213137047,5.4872889584291,"EI"
8,9.55858900085783,5.33258720906446,"EI"
9,9.41109796606792,5.26159231517906,"EI"
10,8.95874836752822,5.11674886452258,"EI"
11,8.87698904245725,5.01425441430818,"EI"
12,8.70122848124084,4.84250550507655,"EI"
13,8.54205478415156,4.72088956245556,"EI"
14,8.5398765858792,4.71854811067117,"EI"
15,8.5132353460616,4.67662052733439,"EI"
16,8.48707098601632,4.65248353056662,"EI"
17,8.42701634356759,4.65526209127692,"EI"
18,8.36847040953383,4.61448277945196,"EI"
19,8.35800765261249,4.60537195543195,"EI"
20,8.12677989249034,4.52404350851332,"EI"
21,7.8115727737718,4.40751692266299,"EI"
