"steps","y","se","alg.name"
1,11.7516773539901,5.6193868974871,"MGF"
2,11.5851950647863,5.50998718427027,"MGF"
3,11.1708687335184,5.26493376855767,"MGF"
4,11.0002685982485,5.23747523364077,"MGF"
5,10.4228575189031,4.9346336036061,"MGF"
6,10.3218044503394,4.89974734923332,"MGF"
7,10.1359142619123,4.82857685912848,"MGF"
8,10.006204907495,4.77044063455832,"MGF"
9,9.82036464766646,4.69927800820747,"MGF"
10,9.71788023551632,4.71773333382711,"MGF"
11,9.49716290289139,4.80813269111897,"MGF"
12,9.3824977114861,4.71885876913121,"MGF"
13,9.36261889310536,4.704994658367,"MGF"
14,9.07049583715348,4.52193512904066,"MGF"
15,8.97765269805086,4.5205440232703,"MGF"
16,8.88283055502009,4.43882950066678,"MGF"
17,8.78223585922716,4.37772334692602,"MGF"
18,8.6396686030931,4.22919734536531,"MGF"
19,8.4946211730429,4.2065213994607,"MGF"
20,8.34495121830494,4.2428757712477,"MGF"
21,8.09136684157985,4.14596467155273,"MGF"
