"steps","y","se","alg.name"
1,357.409433937639,123.489270215442,"EI"
2,351.730617707492,124.160533647437,"EI"
3,349.015337603026,121.402743233247,"EI"
4,333.93038389307,120.733138319173,"EI"
5,328.848628927006,119.788673429927,"EI"
6,325.966546400376,121.209034332719,"EI"
7,319.279071930515,119.393394676996,"EI"
8,312.987017714872,121.479666136461,"EI"
9,309.167267400256,119.456783857526,"EI"
10,303.501485068553,116.469099097496,"EI"
11,298.867736036436,114.89554033905,"EI"
12,293.332553120198,113.402287723021,"EI"
13,292.988215299417,112.930756911006,"EI"
14,288.873224856007,112.68229878,"EI"
15,287.687394543758,111.45961338663,"EI"
16,285.28161628281,108.042432980969,"EI"
17,283.481173506603,105.758047904406,"EI"
18,282.376717643894,106.782423224006,"EI"
19,280.189970860401,106.057676156165,"EI"
20,278.956043844561,106.20656615536,"EI"
21,271.632895198758,103.596138406602,"EI"
