"steps","y","se","alg.name"
1,316.826294281196,136.45064794108,"MGF"
2,311.272930127595,137.059092979607,"MGF"
3,307.870453326214,133.136773199923,"MGF"
4,302.032359716746,127.718030326735,"MGF"
5,294.676143350982,127.845478689727,"MGF"
6,291.491041218561,125.894447778309,"MGF"
7,289.096520302199,122.488486879299,"MGF"
8,284.635127105964,120.260348513223,"MGF"
9,283.527129959033,119.509567976259,"MGF"
10,281.922358700461,120.021070242419,"MGF"
11,279.179414017322,120.217985012907,"MGF"
12,278.247932487849,119.688255007544,"MGF"
13,270.885532075887,120.779839938692,"MGF"
14,267.570229462455,116.907622268447,"MGF"
15,267.007237702849,116.494526151801,"MGF"
16,263.784076834266,113.651698946541,"MGF"
17,262.904773935081,113.49732562165,"MGF"
18,260.521165190104,112.827394673283,"MGF"
19,257.854018213646,110.766616396704,"MGF"
20,257.854018213646,110.766616396704,"MGF"
21,255.956612662275,108.713995786808,"MGF"
